,ParticipationDate,Progress,Duration_S,Duration_M,Finished,ResponseID,US_LatLong,HealthyAdult,Consent,CisMen_Caring,CisMen_WarmInRelations,CisMen_Empathetic,CisMen_Affectionate,CisMen_Friendly,CisMen_Just,CisMen_Fair,CisMen_Considerate,CisMen_Trustworthy,CisMen_Reliable,CisMen_SelfConfident,CisMen_GoodUnderPressure,CisMen_Persistent,CisMen_HasLeadershipQualities,CisMen_FeelSuperior,CisMen_Efficient,CisMen_Capable,CisMen_Competent,CisMen_Intelligent,CisMen_Clever,CisMen_DisplayOrder,CisWomen_Caring,CisWomen_WarmInRelations,CisWomen_Empathetic,CisWomen_Affectionate,CisWomen_Friendly,CisWomen_Just,CisWomen_Fair,CisWomen_Considerate,CisWomen_Trustworthy,CisWomen_Reliable,CisWomen_SelfConfident,CisWomen_GoodUnderPressure,CisWomen_Persistent,CisWomen_HasLeadershipQualities,CisWomen_FeelSuperior,CisWomen_Efficient,CisWomen_Capable,CisWomen_Competent,CisWomen_Intelligent,CisWomen_Clever,CisWomen_DisplayOrder,TransMen_Caring,TransMen_WarmInRelations,TransMen_Empathetic,TransMen_Affectionate,TransMen_Friendly,TransMen_Just,TransMen_Fair,TransMen_Considerate,TransMen_Trustworthy,TransMen_Reliable,TransMen_SelfConfident,TransMen_GoodUnderPressure,TransMen_Persistent,TransMen_HasLeadershipQualities,TransMen_FeelSuperior,TransMen_Efficient,TransMen_Capable,TransMen_Competent,TransMen_Intelligent,TransMen_Clever,TransMen_DisplayOrder,TransWomen_Caring,TransWomen_WarmInRelations,TransWomen_Empathetic,TransWomen_Affectionate,TransWomen_Friendly,TransWomen_Just,TransWomen_Fair,TransWomen_Considerate,TransWomen_Trustworthy,TransWomen_Reliable,TransWomen_SelfConfident,TransWomen_GoodUnderPressure,TransWomen_Persistent,TransWomen_HasLeadershipQualities,TransWomen_FeelSuperior,TransWomen_Efficient,TransWomen_Capable,TransWomen_Competent,TransWomen_Intelligent,TransWomen_Clever,TransWomen_DisplayOrder,NonBinary_Caring,NonBinary_WarmInRelations,NonBinary_Empathetic,NonBinary_Affectionate,NonBinary_Friendly,NonBinary_Just,NonBinary_Fair,NonBinary_Considerate,NonBinary_Trustworthy,NonBinary_Reliable,NonBinary_SelfConfident,NonBinary_GoodUnderPressure,NonBinary_Persistent,NonBinary_HasLeadershipQualities,NonBinary_FeelSuperior,NonBinary_Efficient,NonBinary_Capable,NonBinary_Competent,NonBinary_Intelligent,NonBinary_Clever,NonBinary_DisplayOrder,PersonallyEncountered_CisMen,PersonallyEncountered_CisWomen,PersonallyEncountered_TransMen,PersonallyEncountered_TransWomen,PersonallyEncountered_NonBinary,PersonallyEncountered_Order,MediaStories_CisMen,MediaStories_CisWomen,MediaStories_TransMen,MediaStories_TransWomen,MediaStories_NonBinary,MediaStories_Order,AttentionCheck,Essentialism_Discreteness,Essentialism_Naturalness,Essentialism_Immutability,Essentialism_Stability,Essentialism_Necessity,Essentialism_Uniformity,Essentialism_Informativeness,Essentialism_Inherence,Essentialism_Exclusivity,NfC_1,NfC_2,NfC_3,NfC_4,NfC_5,NfC_6,NfC_7,NfC_8,NfC_Order_FirstHalf,NfC_9,NfC_10,NfC_11,NfC_12,NfC_13,NfC_14,NfC_15,NfC_Order_SecondHalf,HighestEducation,Conservatism,Liberalism,Political_Order,SubjSES_US,SubjSES_Community,Confusion.in.Comment,SocialCategoryOrder,Essentialism_Order,QualityControl,Age_General,RacialIdentity_WhitePoC,GenderIdentity_General,Sexuality_Summary,AnnualPreTaxIncome_Categorical
1,11/6/2017,100,726,12.1,1,00dsEoqLPISKRUZ,1,1,1,1,1,0,1,1,1,1,-1,0,1,2,2,2,2,2,2,2,2,2,2,Trustworthy|SelfConfident|Friendly|Competent|WarmInRelations|Just|HasLeadershipQualities|Affectionate|Efficient|Caring|Empathetic|Capable|Persistent|FeelSuperior|Considerate|GoodUnderPressure|Clever|Fair|Reliable|Intelligent,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,1,2,2,2,2,WarmInRelations|Persistent|Reliable|Caring|Affectionate|Clever|Just|Empathetic|FeelSuperior|Efficient|HasLeadershipQualities|Intelligent|Trustworthy|Competent|GoodUnderPressure|Fair|Considerate|SelfConfident|Friendly|Capable,2,1,2,2,1,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,Efficient|Friendly|Trustworthy|WarmInRelations|Affectionate|GoodUnderPressure|Empathetic|HasLeadershipQualities|FeelSuperior|Capable|SelfConfident|Just|Reliable|Considerate|Caring|Competent|Persistent|Intelligent|Fair|Clever,NA,2,2,2,2,2,2,2,1,1,2,1,2,2,-1,2,2,2,2,1,HasLeadershipQualities|Intelligent|Affectionate|Just|Friendly|Efficient|WarmInRelations|Competent|Capable|Clever|Reliable|SelfConfident|Considerate|Trustworthy|Caring|Fair|Persistent|GoodUnderPressure|Empathetic|FeelSuperior,0,0,2,0,0,0,1,1,0,0,1,0,2,0,1,1,2,1,2,1,Reliable|Empathetic|Caring|Affectionate|Friendly|Just|Trustworthy|Intelligent|Capable|HasLeadershipQualities|FeelSuperior|Efficient|Competent|Persistent|WarmInRelations|Considerate|SelfConfident|Fair|Clever|GoodUnderPressure,3,3,0,1,1,TransWomen|TransMen|CisWomen|CisMen|NonBinary,3,3,2,2,1,TransMen|TransWomen|CisWomen|CisMen|NonBinary,1,5,4,8,3,4,2,1,4,8,6,6,1,4,6,4,3,6,4|1|5|7|8|2|6|3,3,6,6,4,4,6,6,15|13|10|14|11|9|12,5,1,7,Liberalism|Conservatism,5,6,0,TransMen|Non-Binary|TransWomen|CisWomen|CisMen,Informativeness|Exclusivity|Inherence|Immutability|Necessity|Stability|Uniformity|Discreteness|Naturalness,Keep,1,1,2,1,3
2,11/6/2017,100,324,5.4,1,10uXzs26p6qhLJd,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,Reliable|GoodUnderPressure|Caring|Competent|Capable|Efficient|Just|Fair|WarmInRelations|Considerate|Affectionate|Persistent|Clever|SelfConfident|FeelSuperior|HasLeadershipQualities|Friendly|Empathetic|Intelligent|Trustworthy,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,Just|Persistent|Intelligent|Reliable|Clever|Capable|Efficient|GoodUnderPressure|Empathetic|Caring|Affectionate|Considerate|Fair|WarmInRelations|Competent|SelfConfident|Friendly|FeelSuperior|Trustworthy|HasLeadershipQualities,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,SelfConfident|GoodUnderPressure|Friendly|WarmInRelations|Competent|Persistent|Fair|Just|FeelSuperior|Affectionate|Clever|Capable|Empathetic|Considerate|Intelligent|Caring|Reliable|HasLeadershipQualities|Trustworthy|Efficient,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Intelligent|Friendly|Reliable|Capable|Efficient|Trustworthy|Fair|FeelSuperior|HasLeadershipQualities|GoodUnderPressure|Considerate|WarmInRelations|Affectionate|Clever|Competent|Caring|Empathetic|Persistent|SelfConfident|Just,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,Competent|SelfConfident|FeelSuperior|Just|Affectionate|GoodUnderPressure|Persistent|Clever|Capable|Trustworthy|Intelligent|Efficient|Fair|Caring|Empathetic|Reliable|Considerate|Friendly|HasLeadershipQualities|WarmInRelations,3,3,1,1,1,TransWomen|NonBinary|TransMen|CisMen|CisWomen,3,3,2,2,2,TransMen|CisMen|CisWomen|TransWomen|NonBinary,1,1,7,7,6,1,3,6,1,1,2,2,2,2,2,2,2,2,1|8|7|5|4|6|3|2,4,2,2,2,2,2,2,10|9|14|12|15|13|11,5,5,3,Liberalism|Conservatism,4,5,0,TransMen|CisMen|Non-Binary|TransWomen|CisWomen,Uniformity|Immutability|Stability|Informativeness|Naturalness|Inherence|Necessity|Exclusivity|Discreteness,Keep,1,1,1,1,2
3,11/6/2017,100,375,6.25,1,114UCh5yT1qnBmx,0,1,1,2,1,1,0,2,1,1,1,1,1,0,1,2,2,1,1,2,1,2,1,Reliable|Capable|HasLeadershipQualities|GoodUnderPressure|WarmInRelations|Caring|Efficient|SelfConfident|Empathetic|FeelSuperior|Friendly|Competent|Clever|Persistent|Just|Affectionate|Fair|Intelligent|Considerate|Trustworthy,1,1,1,1,1,2,2,2,2,1,NA,1,1,0,2,2,1,2,1,1,FeelSuperior|Persistent|Efficient|Friendly|Fair|Competent|GoodUnderPressure|Affectionate|SelfConfident|HasLeadershipQualities|Just|WarmInRelations|Clever|Considerate|Empathetic|Capable|Intelligent|Trustworthy|Reliable|Caring,2,2,1,2,NA,2,1,2,1,1,2,2,0,1,1,1,2,1,1,2,Empathetic|Affectionate|FeelSuperior|GoodUnderPressure|Considerate|Reliable|Capable|Trustworthy|WarmInRelations|Just|HasLeadershipQualities|Caring|Competent|Friendly|Persistent|Efficient|Clever|Fair|Intelligent|SelfConfident,0,1,1,2,1,0,1,1,1,2,2,1,2,1,2,-1,2,2,1,1,Reliable|Intelligent|SelfConfident|GoodUnderPressure|Trustworthy|Persistent|Clever|Fair|Competent|WarmInRelations|Capable|Considerate|Just|Efficient|Caring|HasLeadershipQualities|Affectionate|Empathetic|Friendly|FeelSuperior,1,2,1,1,1,1,1,1,0,1,0,2,2,2,1,-1,0,1,1,1,GoodUnderPressure|FeelSuperior|Clever|WarmInRelations|Competent|Empathetic|Caring|Trustworthy|SelfConfident|Efficient|Fair|Considerate|Persistent|Just|Intelligent|Capable|Reliable|Friendly|HasLeadershipQualities|Affectionate,3,3,2,2,2,NonBinary|CisMen|TransWomen|TransMen|CisWomen,2,3,3,3,2,CisWomen|NonBinary|TransMen|CisMen|TransWomen,1,8,6,4,8,6,8,6,8,8,6,6,4,5,5,6,5,6,2|8|4|6|5|3|7|1,5,5,2,5,6,6,5,10|13|15|14|12|9|11,3,7,6,Liberalism|Conservatism,9,7,0,CisWomen|TransWomen|CisMen|Non-Binary|TransMen,Exclusivity|Naturalness|Informativeness|Immutability|Uniformity|Stability|Necessity|Inherence|Discreteness,5 - Not In US - Zip Code,1,2,1,1,7
4,11/8/2017,100,361,6.016666667,1,12FkK33BFxy8gtC,0,1,1,1,2,1,1,2,0,1,1,2,1,1,1,2,1,1,2,1,1,2,1,SelfConfident|GoodUnderPressure|HasLeadershipQualities|Persistent|Caring|FeelSuperior|WarmInRelations|Clever|Affectionate|Capable|Just|Reliable|Efficient|Fair|Trustworthy|Considerate|Friendly|Competent|Intelligent|Empathetic,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,Friendly|GoodUnderPressure|Fair|WarmInRelations|Persistent|Intelligent|Empathetic|HasLeadershipQualities|Capable|Efficient|Competent|Caring|Reliable|FeelSuperior|Clever|Affectionate|SelfConfident|Trustworthy|Considerate|Just,1,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,Considerate|Intelligent|Affectionate|Competent|Efficient|Clever|Fair|Reliable|FeelSuperior|HasLeadershipQualities|Capable|Trustworthy|GoodUnderPressure|Friendly|Just|WarmInRelations|Persistent|Empathetic|SelfConfident|Caring,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,Clever|Competent|HasLeadershipQualities|Friendly|Empathetic|Caring|FeelSuperior|Efficient|GoodUnderPressure|Just|Considerate|Trustworthy|Capable|WarmInRelations|SelfConfident|Affectionate|Fair|Reliable|Persistent|Intelligent,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,2,1,2,2,1,Trustworthy|Clever|Affectionate|Empathetic|Caring|Considerate|HasLeadershipQualities|Friendly|GoodUnderPressure|Persistent|Intelligent|Capable|FeelSuperior|SelfConfident|Competent|Fair|Reliable|Just|WarmInRelations|Efficient,3,3,2,3,3,NonBinary|CisMen|TransMen|CisWomen|TransWomen,3,2,3,3,3,CisMen|TransWomen|CisWomen|NonBinary|TransMen,1,7,6,7,5,7,7,5,7,5,6,5,6,5,5,6,5,5,2|1|5|6|8|3|4|7,5,6,6,5,6,5,5,14|13|9|10|15|12|11,5,6,5,Liberalism|Conservatism,5,3,0,CisMen|CisWomen|TransMen|TransWomen|Non-Binary,Uniformity|Necessity|Immutability|Inherence|Discreteness|Naturalness|Stability|Exclusivity|Informativeness,6 - Not un US - LatLong,1,2,1,1,2
5,11/6/2017,100,1101,18.35,1,1cV2NOdcDo6UULx,1,1,1,1,0,1,0,1,0,1,0,1,1,2,1,1,1,1,1,1,1,1,1,Capable|Friendly|WarmInRelations|Considerate|SelfConfident|Clever|Trustworthy|Affectionate|Fair|Efficient|Persistent|Reliable|Empathetic|Caring|Competent|HasLeadershipQualities|GoodUnderPressure|Intelligent|FeelSuperior|Just,1,1,1,1,1,0,-1,0,-1,-1,1,0,1,-1,2,1,0,1,0,2,Just|Competent|Trustworthy|WarmInRelations|Empathetic|GoodUnderPressure|Friendly|Caring|Clever|FeelSuperior|Intelligent|Affectionate|Fair|Reliable|Considerate|Efficient|Capable|HasLeadershipQualities|SelfConfident|Persistent,0,1,1,1,1,-1,0,1,0,0,1,0,0,-2,1,0,-1,0,-1,0,Clever|Just|FeelSuperior|SelfConfident|Caring|Competent|Intelligent|Capable|Friendly|Fair|Empathetic|Efficient|Considerate|Affectionate|Trustworthy|HasLeadershipQualities|GoodUnderPressure|Reliable|Persistent|WarmInRelations,-1,1,1,1,1,0,-1,0,-1,-1,1,-1,0,-1,1,-1,-1,-1,-1,1,Empathetic|Reliable|GoodUnderPressure|Just|Fair|Efficient|Caring|Competent|Intelligent|Capable|Considerate|WarmInRelations|Friendly|Affectionate|Persistent|Clever|Trustworthy|FeelSuperior|HasLeadershipQualities|SelfConfident,-1,-1,-1,-2,-1,-1,0,-1,-2,-2,-1,-1,0,-2,2,-1,-2,-1,-2,-1,Competent|HasLeadershipQualities|GoodUnderPressure|SelfConfident|Capable|Clever|Empathetic|Affectionate|Just|Trustworthy|Considerate|Persistent|FeelSuperior|WarmInRelations|Fair|Friendly|Reliable|Intelligent|Efficient|Caring,3,3,1,1,1,NonBinary|CisWomen|TransWomen|TransMen|CisMen,3,3,3,3,1,CisWomen|TransWomen|TransMen|NonBinary|CisMen,1,0,8,8,8,0,8,6,0,0,3,3,3,6,5,6,5,4,3|7|5|6|4|2|1|8,5,5,5,6,4,4,5,15|13|12|10|9|14|11,5,5,5,Conservatism|Liberalism,8,7,0,TransMen|CisWomen|TransWomen|CisMen|Non-Binary,Exclusivity|Necessity|Naturalness|Uniformity|Informativeness|Discreteness|Stability|Inherence|Immutability,Keep,2,1,1,1,5
6,11/8/2017,100,932,15.53333333,1,1DDbbliUU6updnN,1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,Fair|Trustworthy|Reliable|FeelSuperior|Efficient|Friendly|Intelligent|Persistent|Competent|GoodUnderPressure|Empathetic|Clever|Capable|Affectionate|Just|SelfConfident|Considerate|HasLeadershipQualities|Caring|WarmInRelations,1,0,1,1,1,0,0,1,-1,0,-1,-1,1,-1,1,1,1,1,1,1,Reliable|Just|Clever|Competent|Trustworthy|Friendly|Persistent|Fair|Efficient|Empathetic|Capable|HasLeadershipQualities|SelfConfident|Caring|WarmInRelations|FeelSuperior|GoodUnderPressure|Considerate|Affectionate|Intelligent,-1,0,1,-1,0,1,1,-1,1,1,-1,0,1,1,0,-1,2,1,2,1,Empathetic|Intelligent|Reliable|SelfConfident|Caring|FeelSuperior|Considerate|Persistent|Efficient|Trustworthy|Friendly|Clever|GoodUnderPressure|Fair|Capable|Just|HasLeadershipQualities|Affectionate|Competent|WarmInRelations,1,0,1,1,1,-1,1,1,0,1,-1,1,-1,0,-1,1,1,1,2,1,Caring|Fair|Intelligent|Reliable|Empathetic|Efficient|WarmInRelations|Trustworthy|Considerate|Persistent|Affectionate|Capable|SelfConfident|Friendly|FeelSuperior|Just|Competent|GoodUnderPressure|HasLeadershipQualities|Clever,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-2,-1,0,-2,-1,-1,-1,-1,1,0,Capable|Competent|Clever|Empathetic|Affectionate|Friendly|Just|HasLeadershipQualities|FeelSuperior|GoodUnderPressure|Fair|Intelligent|WarmInRelations|Persistent|Caring|Considerate|Trustworthy|Efficient|Reliable|SelfConfident,3,3,1,1,0,TransWomen|CisMen|CisWomen|NonBinary|TransMen,3,3,1,1,0,TransMen|TransWomen|CisWomen|NonBinary|CisMen,1,6,7,3,3,1,2,6,2,4,2,3,5,5,4,6,4,2,3|8|5|1|6|7|4|2,2,4,5,6,4,6,4,9|13|11|12|15|10|14,6,5,3,Conservatism|Liberalism,6,7,0,TransMen|Non-Binary|TransWomen|CisWomen|CisMen,Inherence|Exclusivity|Uniformity|Informativeness|Discreteness|Immutability|Naturalness|Necessity|Stability,Keep,2,1,1,1,2
7,11/6/2017,100,337,5.616666667,1,1DMxX3YFTnXqEXS,1,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,Efficient|SelfConfident|Trustworthy|Considerate|FeelSuperior|WarmInRelations|Capable|Caring|HasLeadershipQualities|Fair|Friendly|Intelligent|GoodUnderPressure|Persistent|Reliable|Affectionate|Clever|Just|Competent|Empathetic,2,2,2,2,2,2,2,2,2,2,1,1,2,2,-2,2,2,2,2,2,SelfConfident|Capable|GoodUnderPressure|Efficient|Considerate|Clever|Persistent|FeelSuperior|Reliable|Trustworthy|Intelligent|WarmInRelations|Empathetic|Caring|Just|Affectionate|HasLeadershipQualities|Fair|Competent|Friendly,NA,2,2,2,2,2,1,2,2,1,1,2,2,2,-2,2,NA,2,2,2,WarmInRelations|Competent|Trustworthy|GoodUnderPressure|Just|FeelSuperior|Affectionate|Capable|Clever|Reliable|Efficient|Intelligent|SelfConfident|Empathetic|Friendly|Caring|Considerate|Fair|Persistent|HasLeadershipQualities,2,2,2,2,2,2,2,2,2,2,2,1,2,1,-1,2,2,2,2,2,Capable|Reliable|Friendly|SelfConfident|Clever|Intelligent|GoodUnderPressure|Persistent|Caring|Affectionate|FeelSuperior|Competent|Trustworthy|HasLeadershipQualities|Empathetic|Considerate|WarmInRelations|Just|Fair|Efficient,2,2,2,2,2,2,2,2,2,2,2,2,2,0,-2,2,2,2,2,2,HasLeadershipQualities|Fair|Persistent|Trustworthy|Empathetic|Clever|SelfConfident|Reliable|WarmInRelations|Friendly|Caring|Efficient|Intelligent|FeelSuperior|Considerate|GoodUnderPressure|Capable|Affectionate|Competent|Just,3,3,1,1,1,CisWomen|NonBinary|CisMen|TransWomen|TransMen,3,3,2,2,1,CisWomen|NonBinary|TransWomen|CisMen|TransMen,1,2,8,2,5,3,3,6,2,6,6,6,1,6,6,6,6,6,6|2|5|4|1|3|8|7,5,6,5,6,4,6,6,12|13|15|11|10|9|14,2,1,5,Conservatism|Liberalism,3,3,0,TransWomen|Non-Binary|CisWomen|CisMen|TransMen,Inherence|Discreteness|Uniformity|Immutability|Naturalness|Informativeness|Stability|Necessity|Exclusivity,Keep,1,1,2,2,1
8,11/6/2017,100,783,13.05,1,1Du8c8K5qZVQAyH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intelligent|Capable|Persistent|Clever|Trustworthy|SelfConfident|Affectionate|Fair|WarmInRelations|Efficient|Considerate|Friendly|Caring|HasLeadershipQualities|Competent|FeelSuperior|Empathetic|Reliable|GoodUnderPressure|Just,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friendly|FeelSuperior|HasLeadershipQualities|Reliable|Empathetic|Persistent|Intelligent|Just|Trustworthy|Competent|Considerate|WarmInRelations|Clever|Fair|Efficient|Affectionate|Capable|Caring|SelfConfident|GoodUnderPressure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fair|Friendly|GoodUnderPressure|Just|FeelSuperior|Capable|Intelligent|Efficient|Considerate|Affectionate|HasLeadershipQualities|Competent|WarmInRelations|Clever|Caring|SelfConfident|Empathetic|Persistent|Reliable|Trustworthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trustworthy|WarmInRelations|Reliable|Competent|Affectionate|HasLeadershipQualities|Persistent|Capable|Considerate|Just|GoodUnderPressure|SelfConfident|Clever|Efficient|Empathetic|Caring|Intelligent|FeelSuperior|Friendly|Fair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Efficient|Reliable|FeelSuperior|Persistent|Capable|Empathetic|Trustworthy|Affectionate|Competent|Caring|WarmInRelations|SelfConfident|Considerate|GoodUnderPressure|Fair|Clever|HasLeadershipQualities|Just|Friendly|Intelligent,3,3,1,1,2,TransWomen|TransMen|CisWomen|CisMen|NonBinary,3,3,2,3,1,CisMen|CisWomen|TransWomen|TransMen|NonBinary,1,3,4,7,7,2,2,0,5,4,5,4,2,4,6,5,6,4,1|6|7|8|3|2|5|4,4,5,6,4,5,6,4,15|10|14|13|11|9|12,6,2,6,Liberalism|Conservatism,3,3,1,Non-Binary|TransMen|CisWomen|TransWomen|CisMen,Exclusivity|Informativeness|Naturalness|Discreteness|Stability|Uniformity|Necessity|Inherence|Immutability,Keep,2,1,2,1,2
9,11/6/2017,100,1493,24.88333333,1,1DYBZClLjSXIluW,0,1,1,1,0,2,1,1,2,1,1,1,0,0,1,1,0,1,2,1,1,2,1,Friendly|WarmInRelations|Intelligent|Persistent|SelfConfident|Trustworthy|GoodUnderPressure|Efficient|HasLeadershipQualities|Considerate|Clever|Caring|Fair|Just|FeelSuperior|Reliable|Competent|Capable|Affectionate|Empathetic,0,2,2,0,1,1,0,2,1,1,2,1,2,1,0,1,0,1,1,1,Affectionate|FeelSuperior|Persistent|Clever|Fair|Just|Competent|HasLeadershipQualities|Caring|SelfConfident|Friendly|Efficient|GoodUnderPressure|Capable|WarmInRelations|Trustworthy|Intelligent|Considerate|Reliable|Empathetic,-1,-1,0,-1,-1,-1,0,-1,-2,-1,-2,-1,-1,-1,0,-1,0,-2,0,0,Intelligent|GoodUnderPressure|Friendly|Trustworthy|Capable|Caring|Fair|Efficient|Just|HasLeadershipQualities|WarmInRelations|Reliable|FeelSuperior|Empathetic|Competent|Persistent|Affectionate|SelfConfident|Clever|Considerate,0,-1,0,-1,-2,-2,-1,0,-2,-1,-1,-2,-1,-1,-1,-1,0,-1,-1,-2,Caring|Persistent|Efficient|Fair|Considerate|Friendly|Competent|Capable|Empathetic|Affectionate|HasLeadershipQualities|WarmInRelations|FeelSuperior|Reliable|GoodUnderPressure|Clever|Just|Intelligent|Trustworthy|SelfConfident,1,-1,-1,-1,0,-1,1,0,0,0,-1,-1,1,1,0,0,0,-2,0,0,Considerate|Competent|Affectionate|HasLeadershipQualities|Just|Intelligent|WarmInRelations|Fair|Trustworthy|GoodUnderPressure|Reliable|Clever|SelfConfident|Persistent|Caring|Efficient|FeelSuperior|Empathetic|Friendly|Capable,3,3,0,0,0,CisMen|NonBinary|TransMen|TransWomen|CisWomen,3,3,1,0,1,TransWomen|CisWomen|TransMen|CisMen|NonBinary,1,3,8,6,5,7,7,2,6,7,4,6,6,5,5,5,6,6,6|1|7|4|2|3|5|8,3,4,5,5,4,3,4,10|14|12|11|13|9|15,5,4,4,Liberalism|Conservatism,5,5,0,CisMen|CisWomen|TransWomen|Non-Binary|TransMen,Inherence|Discreteness|Uniformity|Immutability|Stability|Exclusivity|Naturalness|Informativeness|Necessity,5 - Not In US - Zip Code,1,2,1,1,1
10,11/6/2017,100,260,4.333333333,1,1eQavejSku5UU0j,1,1,1,1,1,0,1,0,1,1,2,0,1,1,1,2,1,0,2,1,1,2,2,Empathetic|Fair|Persistent|Intelligent|Affectionate|Reliable|Considerate|GoodUnderPressure|SelfConfident|Just|Efficient|Competent|Clever|Friendly|Capable|WarmInRelations|FeelSuperior|Trustworthy|HasLeadershipQualities|Caring,2,2,1,2,1,1,0,1,1,1,2,1,1,1,0,2,1,1,1,1,Fair|Just|Clever|Efficient|Competent|HasLeadershipQualities|Persistent|WarmInRelations|Capable|Trustworthy|FeelSuperior|SelfConfident|GoodUnderPressure|Friendly|Affectionate|Reliable|Considerate|Intelligent|Empathetic|Caring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caring|Capable|WarmInRelations|Affectionate|Fair|Just|Reliable|Friendly|Intelligent|Efficient|Empathetic|Competent|Trustworthy|GoodUnderPressure|HasLeadershipQualities|SelfConfident|Considerate|Clever|FeelSuperior|Persistent,1,1,1,-1,0,0,1,0,1,0,1,0,2,0,-1,0,0,1,1,1,HasLeadershipQualities|Reliable|WarmInRelations|Capable|Considerate|Clever|Just|Empathetic|Intelligent|Caring|GoodUnderPressure|Trustworthy|SelfConfident|Persistent|Efficient|FeelSuperior|Friendly|Affectionate|Competent|Fair,1,2,1,1,1,2,2,0,1,1,1,1,2,1,-2,0,2,2,1,2,Capable|Considerate|Efficient|Persistent|GoodUnderPressure|FeelSuperior|Intelligent|Fair|Caring|SelfConfident|Empathetic|Friendly|Competent|Trustworthy|HasLeadershipQualities|Clever|Reliable|WarmInRelations|Affectionate|Just,3,3,1,1,1,TransMen|CisMen|TransWomen|NonBinary|CisWomen,3,3,2,2,0,TransMen|CisMen|CisWomen|NonBinary|TransWomen,1,0,4,3,4,5,6,2,5,4,1,1,4,5,1,5,1,2,1|6|8|3|7|5|2|4,1,3,3,5,6,1,3,12|15|13|11|9|14|10,5,4,4,Conservatism|Liberalism,6,7,0,Non-Binary|CisMen|CisWomen|TransWomen|TransMen,Informativeness|Necessity|Inherence|Uniformity|Immutability|Exclusivity|Discreteness|Stability|Naturalness,Keep,1,2,1,1,4
